#
#**************************************************************
#
#                       OGLE IV FIELDS
#
#**************************************************************
#
###############################################################
#
#   BULGE FIELDS
#
###############################################################
#
# Numbers given mark field centers.
# Width  (along RA)  of the fields are 01:23:00 degrees (maximal) 01:04:25 deg (minimal).
# Height (along DEC) of the fields are 01:14:10 degrees (maximal) 00:35:35 deg (minimal).
#
#  Name       RA[hr]      DEC[deg]       l[deg]       b[deg]     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
#
  BLG899     17:04:12    -34:39:10     350:19:39     04:04:03   2000.0    17.0700000   -34.6527778   350.3275222     4.0673759   BLG 899
  BLG900     17:04:01    -35:53:00     349:19:24     03:21:07   2000.0    17.0669444   -35.8833333   349.3234319     3.3520412   BLG 900
  BLG993     17:06:25    -36:36:50     349:01:58     02:31:31   2000.0    17.1069444   -36.6138889   349.0328416     2.5252290   BLG 993
  BLG994     17:06:25    -37:50:40     348:02:57     01:47:05   2000.0    17.1069444   -37.8444444   348.0492450     1.7848330   BLG 994
  BLG995     17:06:25    -39:04:30     347:03:59     01:02:38   2000.0    17.1069444   -39.0750000   347.0664405     1.0439117   BLG 995
  BLG996     17:06:05    -40:18:20     346:02:45     00:21:12   2000.0    17.1013889   -40.3055556   346.0457906     0.3533902   BLG 996
  BLG901     17:10:42    -22:57:45       0:40:30     09:50:07   2000.0    17.1783333   -22.9625000     0.6750891     9.8354058   BLG 901
  BLG902     17:10:39    -24:11:35     359:38:59     09:08:04   2000.0    17.1775000   -24.1930556   359.6496821     9.1343313   BLG 902
  BLG903     17:10:36    -25:25:25     358:37:42     08:25:49   2000.0    17.1766667   -25.4236111   358.6284385     8.4302121   BLG 903
  BLG904     17:10:32    -26:39:15     357:36:32     07:43:35   2000.0    17.1755556   -26.6541667   357.6088591     7.7263006   BLG 904
  BLG905     17:10:29    -27:53:05     356:35:42     07:01:00   2000.0    17.1747222   -27.8847222   356.5950368     7.0167313   BLG 905
  BLG618     17:10:25    -29:06:55     355:34:56     06:18:28   2000.0    17.1736111   -29.1152778   355.5823040     6.3077376   BLG 618
  BLG906     17:10:21    -30:20:45     354:34:21     05:35:47   2000.0    17.1725000   -30.3458333   354.5725457     5.5965116   BLG 906
  BLG907     17:10:17    -31:34:35     353:33:56     04:52:60   2000.0    17.1713889   -31.5763889   353.5654563     4.8832692   BLG 907
  BLG908     17:10:12    -32:48:25     352:33:31     04:10:16   2000.0    17.1700000   -32.8069444   352.5586542     4.1710502   BLG 908
